Frame,LEFT_FOOT,LEFT_KNEE,LEFT_HIP,RIGHT_HIP,RIGHT_KNEE,RIGHT_FOOT,PELVIS,TORSO,NECK,HEAD,LEFT_WRIST,LEFT_ELBOW,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST
45,"[207, 478]","[169, 372]","[163, 228]","[247, 225]","[257, 388]","[351, 368]","[205, 225]","[185, 36]","[185, 22]","[167, -70]","[75, 263]","[89, 140]","[117, 40]","[256, 29]","[300, 135]","[326, 249]"
46,"[158, 465]","[173, 367]","[175, 229]","[259, 224]","[290, 368]","[305, 484]","[216, 225]","[209, 51]","[208, 32]","[206, -53]","[91, 266]","[126, 157]","[145, 54]","[280, 47]","[311, 141]","[330, 225]"
47,"[191, 475]","[207, 375]","[209, 230]","[282, 236]","[282, 387]","[346, 389]","[245, 232]","[243, 58]","[241, 38]","[237, -48]","[143, 265]","[160, 155]","[179, 56]","[307, 58]","[334, 166]","[354, 251]"
48,"[191, 455]","[209, 385]","[221, 229]","[289, 234]","[282, 403]","[422, 360]","[254, 230]","[270, 68]","[271, 52]","[268, -32]","[165, 251]","[181, 150]","[209, 66]","[326, 70]","[348, 172]","[362, 249]"
49,"[169, 424]","[198, 385]","[221, 228]","[288, 235]","[277, 411]","[454, 366]","[253, 231]","[270, 70]","[272, 54]","[273, -34]","[154, 254]","[173, 152]","[210, 66]","[324, 72]","[345, 172]","[359, 253]"
50,"[225, 372]","[226, 365]","[212, 235]","[274, 233]","[279, 379]","[326, 440]","[243, 235]","[244, 67]","[244, 46]","[246, -45]","[153, 245]","[162, 158]","[183, 65]","[305, 66]","[322, 159]","[343, 243]"
51,"[225, 460]","[223, 367]","[205, 243]","[268, 240]","[307, 360]","[306, 454]","[236, 242]","[232, 75]","[229, 58]","[225, -30]","[154, 253]","[156, 165]","[172, 75]","[292, 74]","[314, 164]","[333, 238]"
52,"[205, 442]","[220, 370]","[211, 245]","[275, 243]","[311, 361]","[310, 441]","[242, 244]","[240, 81]","[238, 60]","[231, -34]","[160, 258]","[165, 177]","[181, 82]","[298, 77]","[318, 175]","[337, 244]"
53,"[209, 441]","[238, 354]","[235, 226]","[299, 226]","[300, 349]","[299, 419]","[268, 225]","[273, 87]","[272, 71]","[273, -17]","[179, 249]","[207, 165]","[219, 91]","[323, 87]","[344, 174]","[352, 239]"
54,"[217, 434]","[240, 352]","[250, 225]","[309, 225]","[306, 342]","[293, 412]","[279, 225]","[285, 86]","[284, 70]","[287, -13]","[187, 243]","[224, 148]","[238, 88]","[331, 87]","[358, 166]","[359, 232]"
55,"[237, 430]","[244, 357]","[246, 225]","[305, 223]","[297, 365]","[299, 410]","[276, 222]","[285, 89]","[283, 75]","[287, -8]","[185, 239]","[217, 153]","[238, 94]","[330, 90]","[359, 166]","[365, 235]"
